Time	Channel A	Channel B
(s)	(mV)	(V)

1.09650005	3.56456200	2.01757900
1.09700005	3.11746600	2.01757900
1.09750005	3.56456200	2.01757900
1.09800005	3.56456200	2.01757900
1.09850005	3.11746600	2.06198300
1.09900005	3.11746600	2.01757900
1.09950005	3.11746600	2.01757900
1.10000005	3.56456200	2.01757900
1.10050005	3.11746600	2.01757900
1.10100005	3.56456200	2.01757900
1.10150005	3.56456200	2.01757900
1.10200005	3.56456200	2.01757900
1.10250005	3.56456200	2.01757900
1.10300005	3.11746600	2.01757900
1.10350005	3.56456200	2.01757900
1.10400005	3.56456200	2.01757900
1.10450005	3.56456200	2.01757900
1.10500005	3.56456200	2.01757900
1.10550005	3.11746600	2.01757900
1.10600005	3.56456200	2.01757900
1.10650005	3.56456200	2.01757900
1.10700005	3.56456200	2.01757900
1.10750005	3.56456200	2.01757900
1.10800005	3.56456200	2.01757900
1.10850005	3.56456200	2.01757900
1.10900005	3.56456200	2.01757900
1.10950005	3.56456200	2.01757900
1.11000005	3.56456200	2.01757900
1.11050005	3.11746600	2.01757900
1.11100005	3.56456200	2.01757900
1.11150005	3.56456200	2.01757900
1.11200005	3.11746600	2.01757900
1.11250005	3.56456200	2.01757900
1.11300005	3.56456200	2.01757900
1.11350005	3.56456200	2.01757900
1.11400005	3.56456200	2.01757900
1.11450005	3.56456200	2.01757900
1.11500005	3.56456200	2.01757900
1.11550005	3.56456200	2.01757900
1.11600005	3.56456200	2.01757900
1.11650005	3.56456200	2.01757900
1.11700005	3.11746600	2.01757900
1.11750005	3.56456200	2.01757900
1.11800005	3.56456200	2.01757900
1.11850005	3.56456200	2.01757900
1.11900005	3.56456200	2.01757900
1.11950005	3.56456200	2.01757900
1.12000005	3.56456200	2.01757900
1.12050005	3.56456200	2.01757900
1.12100005	3.56456200	2.01757900
1.12150005	3.56456200	2.01757900
1.12200005	3.56456200	2.01757900
1.12250005	3.56456200	2.01757900
1.12300005	3.56456200	2.01757900
1.12350005	3.56456200	2.01757900
1.12400005	3.56456200	2.01757900
1.12450005	3.56456200	2.01757900
1.12500005	3.56456200	2.01757900
1.12550005	3.56456200	2.01757900
1.12600005	3.56456200	2.01757900
1.12650005	3.56456200	2.01757900
1.12700005	3.56456200	2.01757900
1.12750005	3.56456200	2.01757900
1.12800005	3.56456200	2.01757900
1.12850005	3.56456200	2.01757900
1.12900005	3.56456200	2.01757900
1.12950005	3.56456200	2.01757900
1.13000005	3.56456200	2.01757900
1.13050005	3.56456200	2.01757900
1.13100005	3.56456200	2.01757900
1.13150005	3.56456200	2.01757900
1.13200005	3.56456200	2.01757900
1.13250005	3.56456200	2.01757900
1.13300005	3.56456200	2.01757900
1.13350005	3.56456200	2.01757900
1.13400005	3.56456200	2.01757900
